Nhân vật,Năm,Sự kiện
Nguyễn Thị Anh Nhân,1938,"Nguyễn Thị Anh Nhân sinh ngày 22 tháng 7 năm 1938, quê tại phường Đáp Cầu, thị xã Bắc Ninh, tỉnh Bắc Ninh."
Nguyễn Thị Anh Nhân,1988,Bà còn làm Chủ tịch Hội kỹ thuật vi sinh Việt Nam từ khi Hội được thành lập vào nǎm 1988.
Nguyễn Thị Anh Nhân,1992,"Năm 1992, Nguyễn Thị Anh Nhân, lúc đó là Chủ tịch Hội đồng quản trị Công ty Bia Việt Hà, được nhận Giải thưởng Kovalepxkaia với nhiều sáng kiến về nghiên cứu khoa học và ứng dụng trong thực tiễn có giá trị hàng chục tỷ đồng nộp ngân sách Nhà nước, gồm các công trình nghiên cứu, ứng dụng: sản xuất nước chấm; thiết kế, chế tạo dây chuyền cơ giới tự động hóa, giải phóng sức lao động cực nhọc, độc hại cho công nhân, chống ô nhiễm môi trường… Sau đó bà vẫn tiếp tục nghiên cứu, tìm tòi, có nhiều sáng kiến cải tiến khoa học ứng dụng vào sản xuất, như: công trình nghiên cứu thiết kế nồi lên men sản xuất bia (năm 1994) giúp cho các nhà máy bia không phải nhập nồi lên men; sáng kiến làm nồi tách lọc bia… mang lại hiệu quả kinh tế rất cao."
Nguyễn Thị Anh Nhân,1992,"Huân chương Lao động    Giải thưởng Kovalevskaia (1992) Giải thưởng Lao động sáng tạo (12 lần) Huy chương vàng Tổ chức Sở hữu Trí tuệ Thế giới (WIPO) Giải Quỹ Hỗ trợ Sáng tạo Kỹ thuật Việt Nam VIFOTEC (1993, 2002) Huy chương Danh nhân (của Tổ chức Who's who, Mỹ) Quỹ Giáo dục Mỹ (AEF) trao tặng bằng Tiến sĩ danh dự    Chồng bà là ông Nguyễn Ngọc Anh - một nhà khoa học, cũng là thầy giáo mẫu mực giỏi nhiều ngoại ngữ: Anh, Nga, Pháp, Trung."
Nguyễn Thị Anh Nhân,1993,"Nguyễn Thị Anh Nhân đã được nhận nhiều giải thưởng khoa học trong nước và quốc tế: ngoài Giải thưởng Kovalepxkaia nói ở trên, bà đã 12 lần được nhận Giải thưởng Lao động sáng tạo, Huy chương Vàng Tổ chức Sở hữu trí tuệ thế giới WIPO, 2 lần nhận giải của Quỹ Hỗ trợ Sáng tạo Kỹ thuật Việt Nam VIFOTEC (1993, 2002), Huy chương Danh nhân (của Tổ chức Who's who, Mỹ); Quỹ Giáo dục Mỹ (AEF) trao tặng bằng Tiến sĩ danh dự; Giải thưởng Thăng Long Hà Nội… Bà đã được Nhà nước Việt Nam trao tặng Huân chương Lao động."
Nguyễn Thị Anh Nhân,1997,"Năm 1997, Nguyễn Thị Anh Nhân về hưu, nhưng vẫn được bầu là Chủ tịch danh dự Hội Mã số mã vạch Việt Nam, Chủ tịch danh dự liên doanh Bia Ðông Nam Á."
Nguyễn Thị Anh Nhân,2002,Bà là đại biểu Quốc hội Việt Nam khóa XI (2002–2007).
Nguyễn Thị Anh Nhân,2006,Tập thể mà Nguyễn Thị Anh Nhân đã dày công gây dựng nên là Công ty Bia Việt Hà cũng đã được Nhà nước Việt Nam tặng danh hiệu Anh hùng Lao động thời kỳ đổi vào năm 2006… Ngoài ra bà còn có 52 công trình và sáng kiến cải tiến kỹ thuật được công nhận.
Chahrazed Helal,1923,"Tiếp tục việc học của mình, năm 1923, cô đã lấy được bằng thạc sĩ Lịch sử Âm nhạc và Âm nhạc học."
Chahrazed Helal,1990,"Kể từ khi cô bắt đầu sự nghiệp ca hát vào cuối những năm 1990, Helal đã xuất hiện trong các sự kiện và buổi hòa nhạc âm nhạc Ả Rập tại Tunisia và nước ngoài."
Chahrazed Helal,1999,"Sau bảy năm học tại Học viện Supérieur de Musique ở Tunis, năm 1999, Chahraened Helal đã nhận được bằng tốt nghiệp về âm nhạc Ả Rập."
Chahrazed Helal,2010,"Chahraened Helal cũng đã thực hiện một số bản ghi âm bao gồm ""Narou zadat"" (đĩa đơn, 2010), Law Tensa (album, 2011), Tarabiyyat (album, 2012), ""Ya Hmama"" (đĩa đơn, 2014), ""Ech Mazel"" (đĩađơn, 2015), ""Bledi l'Aziza"" (đĩađơn, 2015) ""Lik Amana"" (đĩađơn, 2016) và Yamma (đĩađơn, 2017) ."
Chahrazed Helal,2011,"Năm 2011, cô hát ở Hy Lạp, cùng với Dàn nhạc Giao hưởng Thessaloniki."
Chahrazed Helal,2012,"Năm 2012, với một luận án dưới sự chỉ đạo của các nhà âm nhạc học Nicolas Meeus về ""La tạo musicale truyền thống entre et modernité: approche analytique du tiết mục de Mohammed 'Abd al-Wahhab"", cô nhận được học vị tiến sĩ từ Đại học Paris-Sorbonne."
Chahrazed Helal,2018,"Trên 13 Tháng tám 2018, Helal đóng vai chính trong một buổi hòa nhạc tại Liên hoan âm nhạc quốc tế tại Hammamet, nơi cô biểu diễn bài hát trong Sufi và Bedouin truyền thống kết hợp với lễ kỷ niệm tôn vinh phụ nữ Tusisian."
Alexandra của Đan Mạch,1848,"Năm 1848, Quốc vương Christian VIII của Đan Mạch tạ thế và con trai duy nhất của ông, Frederik, kế vị ngai vàng."
Alexandra của Đan Mạch,1852,"Năm 1852, những người đứng đầu châu Âu đã mở một hội nghị để tranh luận về vấn đề thừa kế của Đan Mạch."
Alexandra của Đan Mạch,1861,"Ngày 24 tháng 9 năm 1861, Thái tử phi Victoria giới thiệu em trai bà với Alix tại Speyer."
Alexandra của Đan Mạch,1861,"Căn phòng và đồ dùng của ông được giữ vị trí chính xác như khi ông còn sống, giống những gì Nữ vương Victoria đã làm sau khi Vương tế Albert qua đời vào năm 1861."
Alexandra của Đan Mạch,1862,"Gần 1 năm sau, vào ngày 9 tháng 9 năm 1862 (sau ồn ào tình cảm với Nellie Clifden và cái chết của cha), Albert Edward giới thiệu Alexandra với ông bác, Quốc vương Leopold I của Bỉ, tại một lâu đài ở Laeken."
Alexandra của Đan Mạch,1863,"Họ kết hôn 18 tháng sau đó vào năm 1863, cùng năm đó cha bà trở thành Quốc vương Christian IX của Đan Mạch và em trai bà trở thành Quốc vương Georgios I của Hy Lạp."
Alexandra của Đan Mạch,1863,"Đến cuối năm 1863, cha của Alexandra kế thừa ngai vàng Đan Mạch, em trai bà trở thành Quốc vương Hy Lạp, em gái bà đính hôn với Tsesarevich của Đế quốc Nga, và Alix hạ sinh đứa con đầu lòng."
Alexandra của Đan Mạch,1864,"Người con đầu của Vương phi xứ Wales, Albert Victor, bị sinh non 2 tháng vào đầu năm 1864."
Alexandra của Đan Mạch,1867,"Trong lần sinh đứa con thứ ba vào năm 1867, biến chứng của cơn sốt thấp khớp khiến Alix đi lại khập khiễng."
Alexandra của Đan Mạch,1868,Albert Edward và Alexandra đến thăm Ireland vào tháng 4 năm 1868.
Alexandra của Đan Mạch,1868,"Cặp vợ chồng đã thực hiện một chuyến công du kéo dài sáu tháng đến Áo, Ai Cập và Hy Lạp vào năm 1868 và 1869, gồm các chuyến thăm tới em trai bà là Georgious I của Hy Lạp và chiến trường Crimea."
Alexandra của Đan Mạch,1871,"Tuy nhiên, một số người đã khẳng định rằng Albert Edward không dành cho vợ nhiều sự quan tâm như bà mong muốn và họ dần dần lạnh nhạt với nhau, cho đến khi Edward bị sốt thương hàn, căn bệnh được cho là đã giết chết cha ông, vào cuối năm 1871 đã dẫn đến sự hòa giải giữa hai người."
Alexandra của Đan Mạch,1877,Alexandra đã ở Hy Lạp suốt mùa xuân năm 1877 để hồi phục sau thời gian đau ốm và thăm em trai của mình là Vua George I của Hy Lạp.
Alexandra của Đan Mạch,1881,"Năm 1881, Alexandra và Edward tới Saint Petersburg sau vụ ám sát Alexander II của Nga với tư cách đại diện cho nước Anh và nhờ đó, Alexandra có thể động viên em gái mình, người lúc bấy giờ là Hoàng hậu Nga."
Zachary Taylor,1784,"Zachary Taylor (24 tháng 11 năm 1784 – 9 tháng 7 năm 1850) là tổng thống thứ 12 của Hoa Kỳ, phục vụ từ tháng 3 năm 1849 cho đến khi ông qua đời vào tháng 7 năm 1850."
Zachary Taylor,1808,Ông được ủy nhiệm làm sĩ quan trong Lục quân Hoa Kỳ năm 1808 và tạo danh tiếng cho bản thân với chức vụ Đại úy trong cuộc Chiến tranh 1812.
Zachary Taylor,1832,Ông dần được thăng cấp trong thời gian thành lập các pháo đài dọc sông Mississippi và tham gia Chiến tranh Diều hâu Đen (Black Hawk War) với vai trò Đại tá vào năm 1832.
Zachary Taylor,1846,"Khi Chiến tranh Mexico-Hoa Kỳ diễn ra vào tháng 4 năm 1846, Taylor đã đánh bại quân đội Mexico do tướng Mariano Arista dẫn dắt tại trận Palo Alto và trận Resaca de la Palma và buộc lực lượng này phải rời khỏi Texas."
Zachary Taylor,1848,Đảng Whig đã cố gắng thuyết phục Taylor đại diện họ trong chiếc vé vào Nhà trắng trong cuộc bầu cử Tổng thống năm 1848 mặc dù ông không có một đường lối chính trị rõ ràng và cũng không quan tâm đến vấn đề này.
Zachary Taylor,1850,Những điều này đã góp phần tạo nên một tiền đề cho Thỏa hiệp năm 1850 sau này.
Zachary Taylor,1850,Taylor qua đời đột ngột do bệnh đau dạ dày vào ngày 9 tháng 7 năm 1850 khi mà chính quyền của ông chỉ đạt được vài mục tiêu như phê chuẩn Hiệp ước Clayton-Bulwer.
Travis Fimmel,2002,Fimmel đến Hoa Kỳ và được ký hợp đồng ngay với công ty LA Models vào năm 2002 sau khi bước vào văn phòng của họ với đôi chân trần đang chấn thương.
Travis Fimmel,2003,"Fimmel xuất hiện trên các trang bìa tạp chí khác nhau, bao gồm Numero Homme của Pháp và America's TV Guide, cũng như trên các chương trình truyền hình của Mỹ vào năm 2003 bao gồm Jimmy Kimmel Live !"
Travis Fimmel,2003,"The Sharon Osbourne Show, Live with Regis và Kathie Lee, MTV's Total Request Live và chương trình tin tức truyền hình giải trí Extra."
Travis Fimmel,2003,Anh đảm nhận vai chính trong loạt phim truyền hình Tarzan năm 2003 của Warner Bros.
Travis Fimmel,2005,"Ngoài ra, anh còn xuất hiện trong phim thử nghiệm Rocky Point với Lauren Holly vào năm 2005, bộ phim Fox Southern Comfort với Madeleine Stowe vào năm 2006 và The Big Valley với Richard Dreyfuss và Jessica Lange vào năm 2011."
Travis Fimmel,2008,"Năm 2008, anh đóng vai một kẻ sát nhân trong Restraint và một cậu bé tiệc tùng trong Surfer, Dude với Matthew McConaughey và Woody Harrelson."
Travis Fimmel,2009,Fimmel đóng vai chính cùng Patrick Swayze trong loạt phim The Beast năm 2009 của A&E.
Travis Fimmel,2010,"Anh diễn vai một nghệ sĩ dương cầm cổ điển tài năng trong Ivory, một bộ phim độc lập ""sáng tạo, sắc sảo, độc đáo"" đã được lựa chọn chiếu chính trong Liên hoan phim Thế giới Montreal 2010 và Liên hoan phim Quốc tế Strasbourg."
Travis Fimmel,2010,"Được sản xuất bởi Grey Frederickson, người từng đoạt giải thưởng của Viện Hàn lâm và các diễn viên chính Martin Landau và Peter Stormare, Ivory ""kể chi tiết về cuộc sống rắc rối của các nghệ sĩ piano cổ điển tại một nhạc viện lớn của Mỹ khi họ đối đầu với sự cạnh tranh cá nhân và nghề nghiệp trong quá trình đào tạo khắc nghiệt"" Fimmel đóng vai Helweg, một cai ngục trong bộ phim The Experiment năm 2010."
Travis Fimmel,2010,"Anh đã đóng vai Mason Boyle chạy trốn trong hai tập phim phiêu lưu hành động Chase năm 2010 của NBC (mùa 1, tập 1 và 8), do Jerry Bruckheimer sản xuất."
Travis Fimmel,2011,"Fimmel xuất hiện trong chương trình truyền hình thí điểm Outlaw Country của FX vào năm 2011 với Luke Grimes, được mô tả như một ""bộ phim truyền hình hiện đại lấy bối cảnh chống lại sự tụt lùi của một gia đình tội phạm có tổ chức ở miền nam""."
Gloria Macapagal Arroyo,1964,"Gloria được gởi đến Tu viện Assumption để theo đuổi chương trình giáo dục bậc tiểu học và trung học, tốt nghiệp thủ khoa năm 1964; sau đó theo học trong hai năm tại Trường Ngoại giao thuộc Đại học Georgetown ở Washington, D.C., tại đây cô trở thành bạn học cùng lớp với cựu Tổng thống Hoa Kỳ Bill Clinton."
Gloria Macapagal Arroyo,1968,Gloria nhận văn bằng cử nhân chuyên ngành kinh tế tại Đại học Assumption khi tốt nghiệp hạng xuất sắc năm 1968.
Gloria Macapagal Arroyo,1968,Arroyo kết hôn với Jose Miguel Arroyo năm 1968.
Gloria Macapagal Arroyo,1977,"Từ năm 1977 đến năm 1987, Arroyo giảng dạy tại các trường học như Đại học Philippines và Đại học Ateneo de Manila."
Gloria Macapagal Arroyo,1980,"Đồng thời trong cương vị Giám đốc điều hành Ban Xuất khẩu hàng dệt may, Arroyo chứng kiến tốc độ tăng trưởng cao của công nghiệp dệt may trong thập niên 1980."
Gloria Macapagal Arroyo,1986,"Tiến trình loại bỏ Estrada về sau được biết đến với tên gọi Cuộc cách mạng EDSA II, sau khi cuộc cách mạng EDSA năm 1986 lật đổ chính quyền Ferdinand Marcos."
Gloria Macapagal Arroyo,1987,"Năm 1987, nữ tổng thống đầu tiên của Philippines, Corazon Aquino, mời Arroyo tham chính trong cương vị Phụ tá Bộ trưởng Thương mại và Công nghiệp, hai năm sau bà được đề bạt vào chức vụ thứ trưởng."
Gloria Macapagal Arroyo,1992,"Mặc dù cha từng là tổng thống Philippines, Arroyo không chịu tham gia chính trường cho mãi đến năm 1992, hai mươi bảy năm sau khi ông rời khỏi chức vụ."
Gloria Macapagal Arroyo,1992,"Arroyo đắc cử vào Thượng viện Philippines năm 1992, tái đắc cử năm 1995, đứng đầu cuộc bầu cử thượng viện với 16 triệu phiếu cử tri bầu cho bà."
Gloria Macapagal Arroyo,1998,"Năm 1998, mặc dù có xem xét đến khả năng ra tranh cử tổng thống, nhưng lại chịu thuyết phục bởi cựu tổng thống Fidel V."
Gloria Macapagal Arroyo,1998,"Ngày 30 tháng 6 năm 1998, Arroyo bắt đầu nhiệm kỳ phó tổng thống."
Gloria Macapagal Arroyo,2000,"Tháng 10 năm 2000, Arroyo từ nhiệm khỏi nội các để giữ khoảng cách với Tổng thống Estrada đang bị cáo buộc tham nhũng bởi chính những chính trị gia ủng hộ ông trước đó."
Gloria Macapagal Arroyo,2001,"Arroyo nhận lãnh chức vụ tổng thống năm 2001 do cuộc cách mạng EDSA lần thứ hai, đánh đổ Joseph Estrada khỏi quyền lực giữa những cáo buộc về tình trạng tham nhũng tràn lan."
Gloria Macapagal Arroyo,2001,"Ngày 20 tháng 1 năm 2001, sau nhiều ngày bất ổn chính trị với những cuộc biểu tình bùng phát trên đường phố, Tối cao Pháp viện công bố bỏ trống chiếc ghế tổng thống."
Kevin Van Den Kerkhof,2017,"Sau một chấn thương nặng, anh trở lại Feignies Aulnoye, trước khi chuyển đến Bỉ, tại câu lạc bộ La Louvière vào năm 2017."
Kevin Van Den Kerkhof,2019,"Năm 2019, anh chuyển đến Olympic Charleroi tại Giải bóng đá Hạng Nhất quốc gia Bỉ."
Kevin Van Den Kerkhof,2022,"Vào ngày 12 tháng 5 năm 2022, anh trở lại Pháp với câu lạc bộ Bastia tại Ligue 2."
Kevin Van Den Kerkhof,2022,Anh ra mắt chuyên nghiệp cho đội bóng trong trận thua 2–0 tại Ligue 2 trước Laval vào ngày 30 tháng 7 năm 2022.
Kevin Van Den Kerkhof,2023,Anh đã được gọi lên Đội tuyển bóng đá quốc gia Algérie vào tháng 3 năm 2023 cho 2 trận đấu tại vòng loại Cúp bóng đá châu Phi gặp Niger.
Grzegorz Antoni Ogiński,1700,Ông đã giành chiến thắng trong cuộc Nội chiến Litva mà đỉnh cao là Trận Valkininkai vào ngày 18 tháng 11 năm 1700.
Grzegorz Antoni Ogiński,1703,Ông được bổ nhiệm làm Chỉ huy của Litva vào ngày 20 tháng 11 năm 1703 và Đại Chỉ huy của Litva vào năm 1709.
Grzegorz Antoni Ogiński,1705,Ông cũng được nhận Huân chương Đại bàng trắng vào năm 1705.
Grzegorz Antoni Ogiński,1709,Ông qua đời ở Lublin vào năm 1709.
Grzegorz Antoni Ogiński,1727,Ông kết hôn với Teofila Czartoryska và có một con trai tên là Kazimierz Marcjan Ogiński (mất năm 1727) và một con gái tên là Elżbieta Magdalena Ogińska.
Nguyễn Thị Kim Lan,1955,Nguyễn Thị Kim Lan sinh ngày 20 tháng 6 năm 1955 tại Bắc Ninh.
Nguyễn Thị Kim Lan,1979,"Sau khi tốt nghiệp trung học ở Bắc Ninh, Nguyễn Thị Kim Lan học đại học ngành Thú y tại trường Đại học Nông nghiệp 1 (nay là Học viện Nông nghiệp Việt Nam) và tốt nghiệp vào năm 1979."
Nguyễn Thị Kim Lan,1996,"Năm 1996, bà tốt nghiệp Thạc sĩ ngành Chăn nuôi động vật tại trường Đại học Nông lâm, Đại học Thái Nguyên."
Nguyễn Thị Kim Lan,2000,"Năm 2000, bà nhận học vị Tiến sĩ, ngành Ký sinh trùng học, chuyên ngành Ký sinh trùng học thú y tại Viện Thú y Quốc gia Việt Nam."
Nguyễn Thị Kim Lan,2005,"Nguyễn Thị Kim Lan được công nhận chức danh Phó Giáo sư năm 2005, Giáo sư năm 2012; được phong tặng danh hiệu Nhà giáo Ưu tú năm 2008."
Nguyễn Thị Kim Lan,2014,"Bà được tặng Giải thưởng Kovalevskaia năm 2014 nhờ những đóng góp trong công tác phòng, chống dịch dịch bệnh cho đàn gia súc, gia cầm ở Việt Nam."
Nguyễn Thị Kim Lan,2014,Bà là cá nhân duy nhất được trao Giải thưởng Kovalevskaia năm 2014.
Nguyễn Thị Kim Lan,2015,"Năm 2015, bà được Chủ tịch nước tặng danh hiệu Anh hùng Lao động thời kỳ đổi mới."
Nguyễn Thị Kim Lan,2016,Nguyễn Thị Kim Lan là đại biểu của ngành Giáo dục và Đào tạo tham dự Đại hội Thi đua yêu nước toàn quốc lần thứ 9 (năm 2016) tại Hà Nội.
Illya Zabarnyi,2019,Anh chơi cho Dynamo Kyiv ở đội dự bị tại Giải Ngoại hạng Ukraina trước khi được đôn lên đội một vào tháng 7 năm 2019.
Illya Zabarnyi,2020,Zabarnyi ra mắt Giải Ngoại hạng Ukraina vào ngày 11 tháng 9 năm 2020 trong trận hòa với Desna Chernihiv.
Illya Zabarnyi,2020,"Vào ngày 7 tháng 10 năm 2020, Zabarnyi ra mắt đội tuyển quốc gia Ukraina trong trận thua 7–1 trong trận giao hữu với Pháp."
Illya Zabarnyi,2020,Anh là thành viên của đội tuyển Ukraina lần đầu tiên lọt vào tứ kết của giải đấu tại UEFA Euro 2020.
Illya Zabarnyi,2023,Anh ra mắt câu lạc bộ trong trận thua 2–0 trước Brighton & Hove Albion vào ngày 4 tháng 4 năm 2023.
Illya Zabarnyi,2024,Anh ghi bàn thắng đầu tiên cho câu lạc bộ trong chiến thắng 4–3 trước Luton Town vào ngày 13 tháng 3 năm 2024.
Illya Zabarnyi,2024,"Vào ngày 21 tháng 7 năm 2024, anh gia hạn hợp đồng với Bournemouth đến năm 2029."
Illya Zabarnyi,2025,"Vào ngày 22 tháng 2 năm 2025, Zabarnyi nhận thẻ đỏ trực tiếp vì pha vào bóng nguy hiểm với Rayan Aït-Nouri trong trận thua 1–0 trên sân nhà trước Wolverhampton Wanderers sau khi trọng tài Michael Salisbury xem lại màn hình VAR."
Illya Zabarnyi,2025,"Vào ngày 12 tháng 8 năm 2025, Zabarnyi chính thức chuyển đến thi đấu cho nhà đương kim vô địch châu Âu Paris Saint-Germain tại Ligue 1 với hợp đồng có thời hạn 5 năm và 63 triệu euro."
Illya Zabarnyi,2025,"Tính đến ngày 25 tháng 5 năm 2025    Tính đến 9 tháng 9 năm 2025  Tỷ số và kết quả liệt kê bàn thắng của Ukraina được để trước, cột tỷ số cho biết tỷ số sau mỗi bàn thắng của Zabarnyi."
Suphankanlaya,1564,"Năm 1564, phụ vương của bà trở thành chư hầu của Bayinnaung tại Pegu (Miến Điện)."
Suphankanlaya,1569,"Được ghi nhận trong biên niên sử Miến rằng: vào năm Phật lịch 2112 (tức năm 1569), Chao Fa Song Khwae (tước hiệu của Maha Thammaracha khi được Bayinnaung sắc phong cai trị Phitsanulok) đã dâng công chúa Suwannakanlaya, khi đó 17 tuổi, cùng đoàn tùy tùng và 15 cung nhân, lên Bayinnaung."
Suphankanlaya,1573,"Vào rằm tháng Ba năm Phật lịch 2116 (1573), trong lễ cúng dường chùa Shwedagon, bà cùng tiểu công chúa đã ngự thuyền theo hầu Bayinnaung đi hành lễ trong 5 ngày."
Suphankanlaya,1581,"Sau khi Bayinnaung băng hà vào năm Phật lịch 2124 (1581), Nanda Bayin lên kế vị, bà trở thành phi tần của con trai ông là Nanda Bayin."
Suphankanlaya,1584,"Năm 1584, phụ vương bà nổi dậy chống lại Nanda Bayin, hủy bỏ lời thề trung thành, dẫn đến chiến tranh."
Suphankanlaya,1590,"Sau khi phụ vương qua đời năm 1590, em trai bà là Naresuan tiếp tục kháng chiến."
Suphankanlaya,1592,"Đến năm Phật lịch 2135 (1592), sau khi Thái tử Maha Uparaja Mingyi Swa tử trận trong một cuộc đấu tay đôi huyền thoại trên lưng voi với Naresuan, thì các ghi chép trong biên niên sử và lời khai của cả phía Thái lẫn Miến đưa ra những tường thuật khác nhau về cái chết của Phra Suphankanlaya."
Suphankanlaya,1592,"Đến năm Phật lịch 2135 (1592), thời điểm xảy ra trận đấu voi, bà khoảng 40 tuổi."
Suphankanlaya,1592,"Trong thời điểm năm Phật lịch 2135 (1592), Phra Suphankanlaya không còn ở Hanthawaddy, mà đang ở Inwa."
Suphankanlaya,1594,"Sau đó khi các chư hầu ly khai khỏi Hanthawaddy (khoảng 1594), Nyaungyan Min chiếm Inwa."
Suphankanlaya,1997,"Trong và sau Khủng hoảng tài chính châu Á 1997, bà dần trở thành một phần của “điện thần” (pantheon) trong tín ngưỡng dân gian Thái Lan."
Suphankanlaya,1998,"Bộ Tư lệnh Quân khu 3 tại Phitsanulok là đơn vị đầu tiên dựng tượng đài bà và cho biên soạn một tiểu sử vào năm 1998, trong đó nhấn mạnh sự tàn bạo của người chồng Miến."
Suphankanlaya,2004,"Đến năm 2004, câu chuyện của bà được chuyển thể thành phim điện ảnh, góp phần củng cố hình tượng trong tâm thức đại chúng."
Max Dowman,2015,Dowman bắt đầu sự nghiệp bóng đá chuyên nghiệp của mình tại đội trẻ của Billericay Town và sau đó gia nhập học viện trẻ của Arsenal vào năm 2015.
Max Dowman,2023,Anh bắt đầu chơi với đội U-18 Arsenal vào tháng 9 năm 2023 ở tuổi 13.
Max Dowman,2024,"Vào ngày 19 tháng 9 năm 2024, Dowman ghi bàn trong trận đấu UEFA Youth League giữa U-19 Arsenal và U-19 Atalanta ở tuổi 14, 8 tháng và 19 ngày và do đó trở thành cầu thủ ghi bàn trẻ nhất trong lịch sử giải đấu."
Max Dowman,2024,"Vào tháng 12 năm 2024, anh bắt đầu tập luyện với đội một với ý định trở thành một phần của đội một trong mùa giải 2025–26 sau khi trở thành cầu thủ trẻ nhất từng chơi ở Premier League 2 ở tuổi 14."
Max Dowman,2024,Dowman ra mắt các đội tuyển U-16 Anh và U-17 Anh vào năm 2024.
Max Dowman,2025,"Vào ngày 23 tháng 7 năm 2025, Dowman ra mắt đội một trong trận giao hữu trước mùa giải với AC Milan ở tuổi 15."
Max Dowman,2025,"Vào ngày 4 tháng 11 năm 2025, anh vào sân thay người ở phút 72 trong chiến thắng 3–0 của Arsenal trước Slavia Prague tại giai đoạn vòng bảng UEFA Champions League 2025–26."
Max Dowman,2025,Anh được đưa vào đội hình tham dự Giải vô địch U-17 châu Âu 2025.
Max Dowman,2026,"Ngày 30 tháng 1 năm 2026, Arsenal thông báo Dowman đã ký một bản thỏa thuận tiền hợp đồng với câu lạc bộ, cho phép anh ký hợp đồng chuyên nghiệp chính thức khi tròn 17 tuổi."
Max Dowman,2026,"Vào ngày 14 tháng 3 năm 2026, Dowman vào sân thay cho Martín Zubimendi và ghi bàn ở phút 97 trong chiến thắng 2–0 trước Everton trên sân nhà."
Charles-Maurice de Talleyrand-Périgord,1754,"Talleyrand sinh ngày 2 tháng 2 năm 1754 tại thành phố Paris, trong một gia đình quý tộc lâu đời của nước Pháp, tổ tiên của ông từ xa xưa đã có địa vị cao quý trong cung đình nước Pháp."
Charles-Maurice de Talleyrand-Périgord,1774,"Năm 1774, khi vừa tròn 20 tuổi và được phong danh hiệu cha cố."
Charles-Maurice de Talleyrand-Périgord,1774,Cũng trong năm 1774 ông tuân theo lời dạy của cha tham dự lễ gia miện của vua Louis XVI.
Charles-Maurice de Talleyrand-Périgord,1789,"Ngày 14 tháng 7 năm 1789, nhân dân Paris đánh chiếm ngục Bastille là nơi tượng trưng cho thành luỹ thống trị của Chủ nghĩa phong kiến chuyên chế."
Charles-Maurice de Talleyrand-Périgord,1790,"Nhằm mục đích thoát khỏi sự ràng buộc của giáo hội, ngày 24 tháng 8 năm 1790, nghị hội công bố ""Luật giáo sĩ"", quy định các giáo sĩ và Tổng Giám mục đều phải được bầu cử, xoá bỏ tiền quyên góp đầu năm và yêu cầu tất cả các tăng lữ đều phải tuyên thệ chấp hành."
Charles-Maurice de Talleyrand-Périgord,1791,"Talleyrand từ lâu đã chán ghét chiếc áo thụng màu đen mà suốt ngày mình phải mặc, nên thừa dịp đó vào năm 1791, tuyên bố không làm giáo sĩ nữa."
Charles-Maurice de Talleyrand-Périgord,1792,"Căn cứ theo hoà ước này, nước Pháp vẫn có thể bảo lưu lãnh thổ của nước mình như năm 1792."
Charles-Maurice de Talleyrand-Périgord,1792,"Talleyrand chỉ rõ: Các nước ở Âu châu đều khôi phục lại biên giới khi bắt đầu cuộc cách mạng Pháp năm 1792, cũng tức là nước Pháp sẽ bảo lưu lãnh thổ của mình như năm 1792."
Charles-Maurice de Talleyrand-Périgord,1794,"Tháng 7 năm 1794, nước Pháp lại xảy ra cuộc đảo chính, giai cấp tư sản lên nắm đại quyền và thành lập ra Chính phủ Đốc chính."
Charles-Maurice de Talleyrand-Périgord,1799,"Ông ta dốc hết sức mình để hiến kế cho Napoléon, trực tiếp tham gia vào những hành động cướp chính quyền của Napoléon, Ngày 9 tháng 11 năm 1799, sau khi Talleyrand tuyên bố từ chức bộ trưởng Ngoại giao của Chính phủ Đốc chính, Napoléon phát động cuộc đảo chính lật đổ Chính phủ Đốc chính: Trong cuộc chính biến này, Talleyrand đã đóng một vai trò hết sức quan trọng."
Charles-Maurice de Talleyrand-Périgord,1799,"Từ năm 1799 đến năm 1807, trong suốt tám năm, Talleyrand đã mang nước lại cho Pháp một số lượng lớn đất đai và tiền bồi thường, đồng thời điều chỉnh bản đồ ở Châu Âu hết sức có lợi cho nước Pháp."
Charles-Maurice de Talleyrand-Périgord,1807,"Vì vậy vào tháng 8 năm 1807, Talleyrand đã đưa đơn xin từ chức Ngoại giao đại thần."
Charles-Maurice de Talleyrand-Périgord,1808,"Tháng 9 năm 1808, Napoléon và Sa hoàng Alexander I của Nga gặp nhau tại Erfurt và đã ra lệnh cho Talleyrand vốn đã từ chức cùng đi theo."
Charles-Maurice de Talleyrand-Périgord,1811,"Tháng 3 năm 1811, Talleyrand đã mật báo cho nước Anh biết là Napoléon sẽ mở cuộc tấn công nước Nga."
Duy Khánh,1952,"Năm 1952, Duy Khánh đoạt giải nhất cuộc thi tuyển lựa ca sĩ của đài phát thanh Pháp Á tại Huế với bài hát Trăng thanh bình."
Duy Khánh,1959,"Ông bắt đầu viết nhạc từ năm 1959, nhạc ông thường nói về tình yêu quê hương, mang hơi dân ca xứ Huế và được đón nhận nồng nhiệt, ngay từ hai sáng tác đầu tay: Ai ra xứ Huế, Thương về miền Trung."
